 market  , stkcode  , order_book_id  , ind_number_2021  
 0       , 003033   , 003033.XSHE    , ind2             
 0       , 003040   , 003040.XSHE    , ind9             
 0       , 300005   , 300005.XSHE    , ind22            
 0       , 300013   , 300013.XSHE    , ind3             
 0       , 300043   , 300043.XSHE    , ind12            
 0       , 300044   , 300044.XSHE    , ind26            
 0       , 300055   , 300055.XSHE    , ind30            
 0       , 300070   , 300070.XSHE    , ind30            
 0       , 300076   , 300076.XSHE    , ind20            
 0       , 300086   , 300086.XSHE    , ind1             
 0       , 300102   , 300102.XSHE    , ind20            
 0       , 300106   , 300106.XSHE    , ind11            
 0       , 300121   , 300121.XSHE    , ind5             
 0       , 300132   , 300132.XSHE    , ind31            
 0       , 300135   , 300135.XSHE    , ind29            
 0       , 300142   , 300142.XSHE    , ind1             
 0       , 300147   , 300147.XSHE    , ind1             
 0       , 300154   , 300154.XSHE    , ind15            
 0       , 300159   , 300159.XSHE    , ind15            
 0       , 300161   , 300161.XSHE    , ind15            
 0       , 300197   , 300197.XSHE    , ind7             
 0       , 300199   , 300199.XSHE    , ind1             
 0       , 300200   , 300200.XSHE    , ind5             
 0       , 300205   , 300205.XSHE    , ind9             
 0       , 300208   , 300208.XSHE    , ind8             
 0       , 300209   , 300209.XSHE    , ind26            
 0       , 300215   , 300215.XSHE    , ind18            
 0       , 300223   , 300223.XSHE    , ind20            
 0       , 300227   , 300227.XSHE    , ind15            
 0       , 300245   , 300245.XSHE    , ind26            
 0       , 300249   , 300249.XSHE    , ind26            
 0       , 300250   , 300250.XSHE    , ind26            
 0       , 300277   , 300277.XSHE    , ind26            
 0       , 300282   , 300282.XSHE    , ind18            
 0       , 300284   , 300284.XSHE    , ind7             
 0       , 300317   , 300317.XSHE    , ind4             
 0       , 300327   , 300327.XSHE    , ind20            
 0       , 300328   , 300328.XSHE    , ind25            
 0       , 300332   , 300332.XSHE    , ind4             
 0       , 300343   , 300343.XSHE    , ind12            
 0       , 300369   , 300369.XSHE    , ind26            
 0       , 300386   , 300386.XSHE    , ind26            
 0       , 300414   , 300414.XSHE    , ind9             
 0       , 300437   , 300437.XSHE    , ind30            
 0       , 300449   , 300449.XSHE    , ind26            
 0       , 300470   , 300470.XSHE    , ind15            
 0       , 300479   , 300479.XSHE    , ind26            
 0       , 300505   , 300505.XSHE    , ind5             
 0       , 300530   , 300530.XSHE    , ind5             
 0       , 300539   , 300539.XSHE    , ind5             
 0       , 300549   , 300549.XSHE    , ind15            
 0       , 300572   , 300572.XSHE    , ind18            
 0       , 300575   , 300575.XSHE    , ind5             
 0       , 300596   , 300596.XSHE    , ind5             
 0       , 300612   , 300612.XSHE    , ind12            
 0       , 300634   , 300634.XSHE    , ind26            
 0       , 300642   , 300642.XSHE    , ind1             
 0       , 300652   , 300652.XSHE    , ind2             
 0       , 300665   , 300665.XSHE    , ind5             
 0       , 300691   , 300691.XSHE    , ind26            
 0       , 300749   , 300749.XSHE    , ind16            
 0       , 300777   , 300777.XSHE    , ind24            
 0       , 300796   , 300796.XSHE    , ind5             
 0       , 300819   , 300819.XSHE    , ind22            
 0       , 300822   , 300822.XSHE    , ind20            
 0       , 300831   , 300831.XSHE    , ind20            
 0       , 300848   , 300848.XSHE    , ind5             
 0       , 300865   , 300865.XSHE    , ind15            
 0       , 300883   , 300883.XSHE    , ind16            
 0       , 300919   , 300919.XSHE    , ind21            
 0       , 300930   , 300930.XSHE    , ind25            
 0       , 300935   , 300935.XSHE    , ind26            
 0       , 300936   , 300936.XSHE    , ind20            
 0       , 300953   , 300953.XSHE    , ind21            
 0       , 300973   , 300973.XSHE    , ind11            
 0       , 300978   , 300978.XSHE    , ind2             
 0       , 300985   , 300985.XSHE    , ind15            
 0       , 300989   , 300989.XSHE    , ind7             
 0       , 301008   , 301008.XSHE    , ind6             
 0       , 301010   , 301010.XSHE    , ind14            
 0       , 301021   , 301021.XSHE    , ind15            
 0       , 301028   , 301028.XSHE    , ind15            
 0       , 301050   , 301050.XSHE    , ind24            
 0       , 301059   , 301059.XSHE    , ind5             
 0       , 301066   , 301066.XSHE    , ind22            
 0       , 301076   , 301076.XSHE    , ind5             
 0       , 301080   , 301080.XSHE    , ind1             
 0       , 301101   , 301101.XSHE    , ind16            
 0       , 301102   , 301102.XSHE    , ind12            
 0       , 301112   , 301112.XSHE    , ind15            
 0       , 301118   , 301118.XSHE    , ind5             
 0       , 301135   , 301135.XSHE    , ind20            
 0       , 301136   , 301136.XSHE    , ind7             
 0       , 301139   , 301139.XSHE    , ind9             
 0       , 301151   , 301151.XSHE    , ind15            
 0       , 301155   , 301155.XSHE    , ind21            
 0       , 301158   , 301158.XSHE    , ind15            
 0       , 301159   , 301159.XSHE    , ind26            
 0       , 301166   , 301166.XSHE    , ind1             
 0       , 301192   , 301192.XSHE    , ind2             
 0       , 301212   , 301212.XSHE    , ind5             
 0       , 301216   , 301216.XSHE    , ind5             
 0       , 301221   , 301221.XSHE    , ind2             
 0       , 301229   , 301229.XSHE    , ind2             
 0       , 301234   , 301234.XSHE    , ind1             
 0       , 301235   , 301235.XSHE    , ind1             
 0       , 301237   , 301237.XSHE    , ind5             
 0       , 301238   , 301238.XSHE    , ind21            
 0       , 301286   , 301286.XSHE    , ind5             
 0       , 301301   , 301301.XSHE    , ind1             
 0       , 301312   , 301312.XSHE    , ind15            
 0       , 301349   , 301349.XSHE    , ind21            
 0       , 301353   , 301353.XSHE    , NULL             
 0       , 301378   , 301378.XSHE    , ind26            
 1       , 600004   , 600004.XSHG    , ind3             
 1       , 600009   , 600009.XSHG    , ind3             
 1       , 600030   , 600030.XSHG    , ind28            
 1       , 600058   , 600058.XSHG    , ind23            
 1       , 600081   , 600081.XSHG    , ind2             
 1       , 600088   , 600088.XSHG    , ind12            
 1       , 600104   , 600104.XSHG    , ind2             
 1       , 600139   , 600139.XSHG    , ind28            
 1       , 600202   , 600202.XSHG    , ind15            
 1       , 600207   , 600207.XSHG    , ind21            
 1       , 600225   , 600225.XSHG    , ind26            
 1       , 600229   , 600229.XSHG    , ind12            
 1       , 600257   , 600257.XSHG    , ind13            
 1       , 600267   , 600267.XSHG    , ind1             
 1       , 600281   , 600281.XSHG    , ind25            
 1       , 600295   , 600295.XSHG    , ind10            
 1       , 600301   , 600301.XSHG    , ind7             
 1       , 600305   , 600305.XSHG    , ind11            
 1       , 600312   , 600312.XSHG    , ind21            
 1       , 600318   , 600318.XSHG    , ind28            
 1       , 600321   , 600321.XSHG    , ind7             
 1       , 600322   , 600322.XSHG    , ind19            
 1       , 600328   , 600328.XSHG    , ind5             
 1       , 600363   , 600363.XSHG    , ind20            
 1       , 600379   , 600379.XSHG    , ind21            
 1       , 600382   , 600382.XSHG    , ind10            
 1       , 600408   , 600408.XSHG    , ind27            
 1       , 600422   , 600422.XSHG    , ind1             
 1       , 600438   , 600438.XSHG    , ind21            
 1       , 600439   , 600439.XSHG    , ind22            
 1       , 600466   , 600466.XSHG    , ind19            
 1       , 600467   , 600467.XSHG    , ind13            
 1       , 600481   , 600481.XSHG    , ind15            
 1       , 600488   , 600488.XSHG    , ind1             
 1       , 600500   , 600500.XSHG    , ind5             
 1       , 600501   , 600501.XSHG    , ind15            
 1       , 600502   , 600502.XSHG    , ind7             
 1       , 600506   , 600506.XSHG    , ind29            
 1       , 600529   , 600529.XSHG    , ind1             
 1       , 600535   , 600535.XSHG    , ind1             
 1       , 600537   , 600537.XSHG    , ind21            
 1       , 600546   , 600546.XSHG    , ind27            
 1       , 600572   , 600572.XSHG    , ind1             
 1       , 600594   , 600594.XSHG    , ind1             
 1       , 600598   , 600598.XSHG    , ind13            
 1       , 600604   , 600604.XSHG    , ind19            
 1       , 600612   , 600612.XSHG    , ind22            
 1       , 600636   , 600636.XSHG    , ind18            
 1       , 600688   , 600688.XSHG    , ind29            
 1       , 600697   , 600697.XSHG    , ind23            
 1       , 600710   , 600710.XSHG    , ind23            
 1       , 600716   , 600716.XSHG    , ind19            
 1       , 600734   , 600734.XSHG    , ind9             
 1       , 600745   , 600745.XSHG    , ind20            
 1       , 600757   , 600757.XSHG    , ind12            
 1       , 600763   , 600763.XSHG    , ind1             
 1       , 600779   , 600779.XSHG    , ind11            
 1       , 600794   , 600794.XSHG    , ind3             
 1       , 600795   , 600795.XSHG    , ind4             
 1       , 600796   , 600796.XSHG    , ind30            
 1       , 600818   , 600818.XSHG    , ind2             
 1       , 600820   , 600820.XSHG    , ind7             
 1       , 600836   , 600836.XSHG    , ind16            
 1       , 600843   , 600843.XSHG    , ind15            
 1       , 600850   , 600850.XSHG    , ind26            
 1       , 600859   , 600859.XSHG    , ind23            
 1       , 600864   , 600864.XSHG    , ind28            
 1       , 600866   , 600866.XSHG    , ind5             
 1       , 600873   , 600873.XSHG    , ind5             
 1       , 600875   , 600875.XSHG    , ind21            
 1       , 600886   , 600886.XSHG    , ind4             
 1       , 600971   , 600971.XSHG    , ind27            
 1       , 600990   , 600990.XSHG    , ind24            
 1       , 600998   , 600998.XSHG    , ind1             
 1       , 601001   , 601001.XSHG    , ind27            
 1       , 601088   , 601088.XSHG    , ind27            
 1       , 601089   , 601089.XSHG    , ind1             
 1       , 601100   , 601100.XSHG    , ind15            
 1       , 601113   , 601113.XSHG    , ind23            
 1       , 601128   , 601128.XSHG    , ind17            
 1       , 601163   , 601163.XSHG    , ind2             
 1       , 601169   , 601169.XSHG    , ind17            
 1       , 601226   , 601226.XSHG    , ind7             
 1       , 601390   , 601390.XSHG    , ind7             
 1       , 601399   , 601399.XSHG    , ind15            
 1       , 601567   , 601567.XSHG    , ind21            
 1       , 601599   , 601599.XSHG    , ind22            
 1       , 601677   , 601677.XSHG    , ind25            
 1       , 601688   , 601688.XSHG    , ind28            
 1       , 601696   , 601696.XSHG    , ind28            
 1       , 601698   , 601698.XSHG    , ind24            
 1       , 601727   , 601727.XSHG    , ind21            
 1       , 601800   , 601800.XSHG    , ind7             
 1       , 601811   , 601811.XSHG    , ind12            
 1       , 601857   , 601857.XSHG    , ind29            
 1       , 601916   , 601916.XSHG    , ind17            
 1       , 601965   , 601965.XSHG    , ind2             
 1       , 601990   , 601990.XSHG    , ind28            
 1       , 601995   , 601995.XSHG    , ind28            
 1       , 603030   , 603030.XSHG    , ind7             
 1       , 603043   , 603043.XSHG    , ind11            
 1       , 603058   , 603058.XSHG    , ind16            
 1       , 603069   , 603069.XSHG    , ind3             
 1       , 603087   , 603087.XSHG    , ind1             
 1       , 603089   , 603089.XSHG    , ind2             
 1       , 603100   , 603100.XSHG    , ind15            
 1       , 603109   , 603109.XSHG    , ind2             
 1       , 603136   , 603136.XSHG    , ind18            
 1       , 603160   , 603160.XSHG    , ind20            
 1       , 603169   , 603169.XSHG    , ind15            
 1       , 603170   , 603170.XSHG    , ind11            
 1       , 603181   , 603181.XSHG    , ind5             
 1       , 603197   , 603197.XSHG    , ind2             
 1       , 603201   , 603201.XSHG    , ind15            
 1       , 603215   , 603215.XSHG    , ind6             
 1       , 603216   , 603216.XSHG    , ind16            
 1       , 603282   , 603282.XSHG    , ind30            
 1       , 603283   , 603283.XSHG    , ind15            
 1       , 603305   , 603305.XSHG    , ind2             
 1       , 603308   , 603308.XSHG    , ind15            
 1       , 603315   , 603315.XSHG    , ind30            
 1       , 603316   , 603316.XSHG    , ind7             
 1       , 603323   , 603323.XSHG    , ind17            
 1       , 603324   , 603324.XSHG    , ind30            
 1       , 603353   , 603353.XSHG    , ind29            
 1       , 603359   , 603359.XSHG    , ind7             
 1       , 603388   , 603388.XSHG    , ind7             
 1       , 603392   , 603392.XSHG    , ind1             
 1       , 603458   , 603458.XSHG    , ind7             
 1       , 603518   , 603518.XSHG    , ind22            
 1       , 603555   , 603555.XSHG    , ind22            
 1       , 603557   , 603557.XSHG    , ind22            
 1       , 603558   , 603558.XSHG    , ind22            
 1       , 603587   , 603587.XSHG    , ind22            
 1       , 603589   , 603589.XSHG    , ind11            
 1       , 603610   , 603610.XSHG    , ind16            
 1       , 603658   , 603658.XSHG    , ind1             
 1       , 603661   , 603661.XSHG    , ind16            
 1       , 603662   , 603662.XSHG    , ind15            
 1       , 603727   , 603727.XSHG    , ind29            
 1       , 603738   , 603738.XSHG    , ind20            
 1       , 603803   , 603803.XSHG    , ind9             
 1       , 603808   , 603808.XSHG    , ind22            
 1       , 603848   , 603848.XSHG    , ind16            
 1       , 603856   , 603856.XSHG    , ind14            
 1       , 603866   , 603866.XSHG    , ind11            
 1       , 603869   , 603869.XSHG    , ind26            
 1       , 603871   , 603871.XSHG    , ind3             
 1       , 603885   , 603885.XSHG    , ind3             
 1       , 603937   , 603937.XSHG    , ind25            
 1       , 603955   , 603955.XSHG    , ind7             
 1       , 603966   , 603966.XSHG    , ind15            
 1       , 603967   , 603967.XSHG    , ind3             
 1       , 603991   , 603991.XSHG    , ind5             
 1       , 605033   , 605033.XSHG    , ind5             
 1       , 605088   , 605088.XSHG    , ind2             
 1       , 605098   , 605098.XSHG    , ind18            
 1       , 605116   , 605116.XSHG    , ind1             
 1       , 605122   , 605122.XSHG    , ind14            
 1       , 605123   , 605123.XSHG    , ind24            
 1       , 605128   , 605128.XSHG    , ind2             
 1       , 605136   , 605136.XSHG    , ind23            
 1       , 605189   , 605189.XSHG    , ind22            
 1       , 605196   , 605196.XSHG    , ind21            
 1       , 605199   , 605199.XSHG    , ind1             
 1       , 605336   , 605336.XSHG    , ind6             
 1       , 605338   , 605338.XSHG    , ind11            
 1       , 605398   , 605398.XSHG    , ind26            
 1       , 688009   , 688009.XSHG    , ind15            
 1       , 688036   , 688036.XSHG    , ind20            
 1       , 688077   , 688077.XSHG    , ind25            
 1       , 688082   , 688082.XSHG    , ind20            
 1       , 688090   , 688090.XSHG    , ind15            
 1       , 688103   , 688103.XSHG    , ind20            
 1       , 688120   , 688120.XSHG    , ind20            
 1       , 688131   , 688131.XSHG    , ind1             
 1       , 688152   , 688152.XSHG    , ind26            
 1       , 688159   , 688159.XSHG    , ind9             
 1       , 688176   , 688176.XSHG    , ind1             
 1       , 688192   , 688192.XSHG    , ind1             
 1       , 688206   , 688206.XSHG    , ind26            
 1       , 688223   , 688223.XSHG    , ind21            
 1       , 688229   , 688229.XSHG    , ind26            
 1       , 688239   , 688239.XSHG    , ind24            
 1       , 688248   , 688248.XSHG    , ind21            
 1       , 688273   , 688273.XSHG    , ind1             
 1       , 688329   , 688329.XSHG    , ind15            
 1       , 688330   , 688330.XSHG    , ind21            
 1       , 688345   , 688345.XSHG    , ind21            
 1       , 688367   , 688367.XSHG    , ind15            
 1       , 688395   , 688395.XSHG    , ind15            
 1       , 688420   , 688420.XSHG    , ind15            
 1       , 688426   , 688426.XSHG    , ind1             
 1       , 688466   , 688466.XSHG    , ind30            
 1       , 688469   , 688469.XSHG    , ind20            
 1       , 688496   , 688496.XSHG    , ind20            
 1       , 688498   , 688498.XSHG    , ind20            
 1       , 688503   , 688503.XSHG    , ind21            
 1       , 688508   , 688508.XSHG    , ind20            
 1       , 688529   , 688529.XSHG    , ind15            
 1       , 688557   , 688557.XSHG    , ind15            
 1       , 688575   , 688575.XSHG    , ind1             
 1       , 688598   , 688598.XSHG    , ind21            
 1       , 688613   , 688613.XSHG    , ind1             
 1       , 688639   , 688639.XSHG    , ind5             
 1       , 688700   , 688700.XSHG    , ind15            
 1       , 688718   , 688718.XSHG    , ind5             
 1       , 688799   , 688799.XSHG    , ind1             
