busi_date,ttl_asset_adj,prev_ttl_asset
2023/5/4,15200692.28,15181122.82
2023/5/5,15126262.05,15199803.72
2023/5/8,15368338.15,15126329.83
2023/5/9,15235709.37,15358291.93
2023/5/10,15142363.18,15235423.16
2023/5/11,15096157,15143019.2
2023/5/12,14909602.79,15095675.6
2023/5/15,15118548.46,14911953.1
2023/5/16,15001152.07,15115545.46
2023/5/17,14957030.51,15005046.91
2023/5/18,14958368.02,14960483.64
2023/5/19,14915963.13,14951734.08
